상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,핏은 정말 잘잡아줘서 너무 예쁘고 좋습니다! 배송왔을때 잔주름이 너무 많아서 좀 다려입어야될것 같고 좀만 더 와이드했으면 좋았을것 같아요,30,177,68,-,-,보통이에요,보통이에요,흐려요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,왕창 와이드함 펄럭펄럭인데 캐쥬얼로는 그만임,34,0,0,-,-,커요,어두워요,보통이에요,얇아요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,색감 디자인 핏 다좋은데 다림질 좀 해서 입어야겠네요,31,181,74,-,-,보통이에요,밝아요,선명해요,두꺼워요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,원래 허리 32-31입는데30입으니 딱맞아요,30,181,80,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,사이즈가 딱 맞아요. 주름있게 와서 다림질은 해야겟어요,27,174,60,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,두께도 괜찮고 겨울대비 예쁘게 많이 입을거 같아요,32,180,81,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,핏도 딱 원하는 스타일로 떨어지고 사길 정말 잘했네요,32,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,사이즈 너무 잘맞고 따뜻한 분위기의 바지에요감성있어요,33,178,83,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,제품이쁘고 잘맞고 좋아요 같은 브랜드 다른옷도 사고싶어요,30,171,70,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,세일하길래 이쁜옷 저렴하게 잘 구입한거같애요,26,171,52,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,무난무난하고 깔끔해요 겨울에 코디하기 좋은 코듀로이예뇨,27,0,0,-,-,보통이에요,어두워요,흐려요,두꺼워요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,편하게 잘 맞아서 한시즌 잘 입었습니다 색깔별로 살껄 그랬네요,36,0,0,-,-,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,무게도 적당하고 데일리로 입기 좋아요 가성비 좋습니다 또 구입할게여,28,167,50,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,옷이 편해서 그런지 손이 잘 가네요 가성비 좋습니다,29,162,69,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
